sessionid,participantId,paper,questionId,answer,isCorrect,rationale
1Y5j3zzSLiPn,P23,paper6,p6q4,"The researchers initially generated 12 items, reduced them to 10 after expert review to ensure content validity, and then applied exploratory factor analysis (EFA), where 2 items (items 4 and 9) were removed due to low factor loadings and communalities, resulting in a final 8-item scale with acceptable reliability and validity.",1,"Includes process, criteria, and specific dropped items."
1Y5j3zzSLiPn,P23,paper6,p6q7,"ChatGPT usage functioned as a mediator linking workload and time pressure to all three outcomes (procrastination, memory loss, and academic performance), and also mediated the effects of sensitivity to rewards on procrastination and memory loss (but not academic performance), while no mediation effects were observed for sensitivity to quality.",1,Correct mappings and mediation directions.
1Y5j3zzSLiPn,P23,paper6,p6q2,"The study proposed a dual-path prediction: reward-sensitive students might either increase ChatGPT usage to optimize grades or decrease usage due to perceived academic risk; empirical results supported the latter, indicating a negative relationship, likely driven by risk aversion and fear of academic penalties.",1,"Both hypotheses, supported result, and reasoning clearly stated."
1Y5j3zzSLiPn,P23,paper6,p6q9,"The authors recommend optimizing academic workload distribution and reducing excessive time pressure, while promoting controlled, complementary use of ChatGPT, since the data show that high workload/time pressure increases reliance on ChatGPT, which subsequently degrades performance through increased procrastination and reduced cognitive engagement.",1,Recommendation explicitly tied to workload/time pressure finding.
1Y5j3zzSLiPn,P23,paper6,p6q10,"The proposed mechanism is reduced cognitive load engagement: frequent outsourcing of problem-solving to ChatGPT diminishes active processing and memory consolidation, leading to weaker retention and gradual cognitive offloading effects.",1,Mechanism chain clearly explained.
1Y5j3zzSLiPn,P23,paper4,p4q10,"The authors use stewardship to emphasize that humans retain ultimate responsibility for validating, adapting, and integrating AI outputs. This framing highlights that, despite AI assistance, accountability remains fully with the human operator, not the system.",1,Explicitly states accountability remains with human.
1Y5j3zzSLiPn,P23,paper4,p4q6,"While motivation (e.g., quality assurance, risk avoidance) encourages critical thinking, ability constraints, such as difficulty refining AI outputs or limited domain expertise, can still inhibit it. This suggests breakdowns occur primarily when task complexity exceeds the user’s evaluative or corrective capacity.",1,Explains interaction + breakdown condition clearly.
1Y5j3zzSLiPn,P23,paper4,p4q2,"RQ1 examines when and how critical thinking is enacted during GenAI use, whereas RQ2 investigates how GenAI alters the perceived effort associated with different critical thinking activities. The distinction lies in presence/behavior vs effort modulation.",1,Clearly distinguishes enaction vs effort.
1Y5j3zzSLiPn,P23,paper4,p4q4,The study identifies a transition from primary task execution (analysis/synthesis) to secondary oversight (evaluation and verification). This effectively repositions knowledge workers as system-level evaluators or supervisors of AI-generated outputs.,1,Clear shift + explicit new role.
1Y5j3zzSLiPn,P23,paper4,p4q8,"Key barriers include limited capacity to refine outputs, insufficient domain knowledge, and difficulty interpreting AI responses in unfamiliar contexts. The most prominent issue reported was difficulty improving or correcting AI-generated content.",0,Does not clearly identify both barriers AND the most common one.
1Y5j3zzSLiPn,P23,paper5,p5q10,A key ethical concern is that XAI can unintentionally increase users’ reliance on AI outputs even when those outputs are incorrect; this is driven by findings showing explanations tend to raise acceptance of AI advice regardless of its accuracy.,1,Clear link between ethical concern and finding.
1Y5j3zzSLiPn,P23,paper5,p5q4,"The subgroup analysis shows that tabular data yields no significant improvement (SMD = 0.01), whereas text data produces a significant positive effect (SMD = 0.72); this difference is likely due to the fact that text-based tasks align better with human reasoning processes, allowing more effective human-AI collaboration.",1,Correct outcomes + explanation.
1Y5j3zzSLiPn,P23,paper5,p5q9,"There is clear inconsistency across studies: Bansal et al. and van der Waa et al. report increased acceptance of AI advice when explanations are provided, whereas Fügener et al. observe reduced or unchanged reliance, indicating that explanation effects are context-dependent and not universally beneficial.",1,Both sides + named studies.
1Y5j3zzSLiPn,P23,paper5,p5q2,"The study evaluates (1) human vs. XAI-assisted performance and (2) AI-assisted vs. XAI-assisted performance; since no significant difference is found between AI and XAI, the observed gains over human performance should be attributed to AI assistance broadly rather than to the explanatory component.",1,Both comparisons + correct interpretation.
1Y5j3zzSLiPn,P23,paper5,p5q7,"The two proposed mechanisms are (1) increased acceptance of AI recommendations and (2) improved calibration of trust (i.e., distinguishing correct from incorrect AI outputs); the qualitative evidence more strongly supports the first mechanism.",1,Both mechanisms + correct dominant one.
1Y5j3zzSLiPn,P23,cross_paper,cpq2,"AI shifts cognitive load from task execution to supervisory evaluation. Since generation is partially automated, users reallocate effort toward validating outputs, ensuring correctness, and integrating results into the task context.",1,Valid shift + explanation.
1Y5j3zzSLiPn,P23,cross_paper,cpq4,"Reduced effort becomes problematic when it weakens verification processes. For instance, accepting AI-generated outputs without validation can propagate errors, as automation lowers the perceived need for scrutiny.",1,Clear harm + mechanism.
1Y5j3zzSLiPn,P23,cross_paper,cpq6,"A primary factor is user trust calibration. Higher trust in AI reduces verification behaviour, while lower trust promotes more rigorous evaluation of outputs.",1,Factor + direction clearly stated.
1Y5j3zzSLiPn,P23,cross_paper,cpq8,"Over-reliance occurs due to perceived system reliability and output fluency. When AI responses are coherent and rapidly produced, users may default to acceptance, reducing engagement in critical validation.",0,Missing explicit connection to a specific paper concept.
1Y5j3zzSLiPn,P23,cross_paper,cpq10,"AI enhances performance by increasing throughput and reducing task execution time. However, it simultaneously introduces risk by encouraging cognitive offloading and reduced verification effort. Consequently, system effectiveness depends on maintaining a balance between automation benefits and human oversight.",1,"Includes benefit, risk, and multiple concepts."
