sessionId,participantId,scope,paperKey,paperTitle,condition,orderPosition,questionId,questionText,questionType,finalAnswer,firstAttemptAnswer,firstAttemptCorrect,finalCorrect,wrongAttemptsBeforeCorrect,manualShortAnswerCorrect,manualShortAnswerRationale,scoring_status,difficulty_rating,questionPresentedOrder
-w3AvKVnaBWV,P01,paper,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,p4q1,The study found that knowledge workers self-reported enacting critical thinking in approximately what proportion of their GenAI task examples?,multiple_choice,C,C,True,True,0.0,,,,,10.0
-w3AvKVnaBWV,P01,paper,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,p4q2,"The paper states two explicit research questions. What are they, and how do they differ from each other?",free_text,"The paper asks when and how people actually do critical thinking with GenAI, and also when and why GenAI changes the effort needed to do it. One is about behavior, while the other focuses more on effort and perception.","The paper asks when and how people actually do critical thinking with GenAI, and also when and why GenAI changes the effort needed to do it. One is about behavior, while the other focuses more on effort and perception.",,,,1.0,Clearly distinguishes enaction vs effort.,scored,,2.0
-w3AvKVnaBWV,P01,paper,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,p4q3,Which of the following was NOT identified as a key motivator for critical thinking among knowledge workers using GenAI?,multiple_choice,C,A,False,True,2.0,,,,,8.0
-w3AvKVnaBWV,P01,paper,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,p4q4,"The paper describes a shift in cognitive effort for Analysis, Synthesis, and Evaluation. What specific shift did the authors observe, and what new role does this create for knowledge workers?",free_text,"The paper suggests effort shifts more toward generating ideas and content, with less focus on evaluation. This means knowledge workers take on more of a creator role rather than checking AI outputs.","The paper suggests effort shifts more toward generating ideas and content, with less focus on evaluation. This means knowledge workers take on more of a creator role rather than checking AI outputs.",,,,0.0,Incorrect direction of effort shift and wrong role.,scored,,9.0
-w3AvKVnaBWV,P01,paper,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,p4q5,"According to the regression analysis, which factor had the strongest negative association with perceived enaction of critical thinking?",multiple_choice,B,C,False,True,1.0,,,,,3.0
-w3AvKVnaBWV,P01,paper,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,p4q6,"The paper reports both motivational factors and ability barriers that influence whether knowledge workers engage in critical thinking when using GenAI. How do these two interact, and what does this imply about when critical thinking is most likely to break down in practice?",free_text,"Basically, even if someone is motivated, like wanting good results or avoiding mistakes, they still might not think critically if they don’t have the skills to evaluate or fix the AI output. So it tends to break down when ability is low, even if motivation is there.","Basically, even if someone is motivated, like wanting good results or avoiding mistakes, they still might not think critically if they don’t have the skills to evaluate or fix the AI output. So it tends to break down when ability is low, even if motivation is there.",,,,1.0,Explains interaction + breakdown condition clearly.,scored,,1.0
-w3AvKVnaBWV,P01,paper,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,p4q7,The paper classifies knowledge workers' critical thinking practices into three workflow phases. Which of the following is NOT one of those phases?,multiple_choice,B,A,False,True,4.0,,,,,5.0
-w3AvKVnaBWV,P01,paper,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,p4q8,"The paper identifies ability barriers that prevent workers from enacting critical thinking even when motivated. What are these barriers, and which did the largest number of participants report?",free_text,"The main barriers are difficulty verifying outputs, not having enough domain knowledge, and struggling to improve AI responses. The most common one people mentioned was difficulty improving the responses, especially when the topic was unfamiliar.","The main barriers are difficulty verifying outputs, not having enough domain knowledge, and struggling to improve AI responses. The most common one people mentioned was difficulty improving the responses, especially when the topic was unfamiliar.",,,,1.0,Identifies barriers and correctly states most common one.,scored,,6.0
-w3AvKVnaBWV,P01,paper,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,p4q9,"Across all six cognitive activities in Bloom's taxonomy, which showed the least reduction in effort when using GenAI?",multiple_choice,D,C,False,True,1.0,,,,,4.0
-w3AvKVnaBWV,P01,paper,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,p4q10,"The authors use the term 'stewardship' rather than 'collaboration' or 'supervision' to describe the human role in GenAI-assisted work. What reasoning do they give for preferring this term, and what does it imply about where accountability sits?",free_text,"They use “stewardship” to emphasize that the human is still responsible for the final outcome, not the AI. It implies that accountability stays with the user, since they are the one overseeing and making final decisions.","They use “stewardship” to emphasize that the human is still responsible for the final outcome, not the AI. It implies that accountability stays with the user, since they are the one overseeing and making final decisions.",,,,1.0,Explicitly states accountability remains with human.,scored,,7.0
